漁獲量|ぎょかくりょう|Haul (catch) of fish
運動さえすれば病気にならない|うんどうさえすれば びょうきにならない|If you dont want to get sick, all you have to do is exercise
姉は福祉の勉強をしています。|あねは ふくしの べんきょうをしています|My big sister studies welfare.
髪を束ねる|かみを たばねる|To tie up ones hair
透明度|とうめいど|Transparency / Degree of clearness
乱心者|らんしんもの|mentally deranged person, lunatic
劣性|れっせい|inferiority; recessiveness
条項|じょうこう|clause; article; stipulations
一国一党主義|いっこくいっとうしゅぎ|one-party system
冷房中につき、ドアをお閉めください。|れいぼう ちゅうにつきをお しめください|Due to the air conditioning, please close the door.
専門に汲々としている|せんもんに きゅうきゅうとしている|He is engrossed in his profession
張り詰める|はり つめる|1. to strain, to stretch, to string up, to make tense2. to cover over (e.g. with
解れる|ほぐれる|To come untied / To come apart
定年|ていねん|Mandatory retirement age
電話の声に雑音が混じっていたの。|でんわの こえに ざつおんが まじっていたの|The voice on the phone was mixed with background noise.
掴み掛かる|つかみ かかる|To grab at
潤滑油|じゅんかつゆ|Lubricating oil
世界有数|せかいゆうすう|World leading (earned, football player, Messi)
折る|おる|to break, fold
着目|ちゃくもく|Attention
新婦|しんぷ|Bride
録音テープ|ろくおんてーぷ|tape
混じる|まじる|be blended, get mixed (distinguishable)
選び出す|びえらびだす|To pick out / select (a dress for Aeris)
引用符|いんようふ|Quotation marks
妹は不器用で、料理も苦手なの。|いもうとは ぶきようで りょうりも にがてなの|My little sister is clumsy and not good at cooking.
出生率|しゅっしょうりつ|Birth rate
短調|たんちょう|Minor key (music)
整備員|せいび いん|Maintenance Man
掲示|けいじ|Notice / Bulletin
前戯|ぜんぎ|(sexual) foreplay
首位|しゅい|First place
区別|くべつ|Distinction / Classification
調理場|ちょうりば|Another word for "Kitchen"
工匠|こうしょう|artisan; mechanic
蒸発|じょうはつ|(1) evaporation; (2) disappearance (of people intentionally concealing their whe
新年に当たり、決心を新たにした|しんねんに あたり けっしんを あらたにした|On the occasion of the new year, made new years resolution
今日は回り道して帰ろう。|きょうは りまわりみちして かえろう|Today, let's make a detour on the way home.
収益|しゅうえき|Earnings / Returns / Revenues
政見|せいけん|Ones political opinions
世間体を繕う心配をするより他にやることがある|せけんていを つくろう しんぱいをするより たにやることがある|We have other things to do than worry about keeping up appearances
妖精|ようせい|Fairy (think Zelda again)
舌打ち|したうち|Smacking lips / Clicking tongue / tut-tut
ねっとり|ねっとり|viscously; stickily
金融政策|きんゆうせいさく|Financial Policy
肝臓を患って以来、酒をやめている。|かんぞうを わずらって いらい さけをやめている|I've stopped drinking since I had my liver problem (lit., suffered from liver (d
茫々|ぼうぼう|(1) (uk) wide expanse of flat surface (e.g. sea, plains); (2) (uk) endless; (n,n
帆|ほ|A Sail (a ships sail, the noun)
地元|じもと|Local
あっという間に|あっという まに|Just like that / in the blink of an eye (lit: in the time it takes to say &quot;
凍える|こごえる|Be chilled / To frozen
腑に落ちる|ふに おちる|to understand; to be convinced; to be satisfied (seems the negative is more comm
