売春宿|ばいしゅんやど|Brothel
気弱|きよわ|timid, fainthearted
優美|ゆうび|Grace / Refinement / Elegance
一手に|いってに|single-handedly; alone; single-handed
洞察(力)|どうさつ りょく|Insight / Perception / Acumen
彼は急性アルコール中毒になってしまった|かれは きゅうせい あるこーるちゅうどくになってしまった|He has acute alcoholism
生活になくてはならない|せいかつになくてはならない|Can't live without it
荒野を開拓する。|あらのを かいたくする|Cultivate the wilderness
救助隊|きゅうじょたい|Rescue team or party
正確無比|せいかくむひ|unmatched (unparalleled) accuracy
上々|うえ|The best / Great / Superb
免税店にでも寄りましょう|めんぜいてんにでも よりましょう|Lets stop by the tax free store
履物|はきもの|Footwear
彼の考えていることはおよそ想像がつく。|かれの かんがえていることはおよそ そうぞうがつく|I can make a fairly good guess about what he's thinking.
前提|ぜんてい|Assumption / Premise (iknow)
賑わう|にぎわう|bustle, be lively
うろつく|うろつく|To loiter / To wander aimlessly / To knock around
塞ぐ|ふさぐ|block (something) up
テーブルを挟んで座る|を はさんで すわる|Sit across from each other at the table
騎手|きしゅ|Rider / Horseman / Jockey
秘術|ひじゅつ|Secret / Secret Art
食わず嫌い|わずくわずぎらい|Prejudice against something / aversion without even trying
地震のため住民は体育館に退避している|じしんのため じゅうみんは たいいくかんに たいひしている|The residents took refuge in the gym because of the earthquake
捕食|ほしょく|predation; eating prey; preying upon
無用（の）|むようの|Useless / Unnecessary / Needless
「いやだ」ときっぱりした態度でこたえた。|いやだときっぱりした たいどでこたえた|"No" he said in a determined manner
このビルは完成までに2年を要した。|このは かんせいまでに  ねんを ようした|The building needed two years to be completed.
内陸|ないりく|Inland / Interior
然るにこれに反して|しかるにこれに はんして|However, on the contrary,..
毒舌|どくぜつ|Wicked Tongue
零す|こぼす|To spill
同封|どうふう|Enclosure
半減|はんげん|Reduction by half
観葉植物|かんようしょくぶつ|Decorative plant
その子は大粒の涙を浮かべていたの|その こは おおつぶの なみだを うかべていたの|The child's eyes were brimming with big tears.
講〜|こう|Construction / Structure / Constitution / Build..
記憶術|きおくじゅつ|Mnemonic
差し向ける|しさしむける|to send or direct a person to
砂利|じゃり|Gravel / Shingle
彼は身分相応な生活をしている。|かれは みぶんそうおうな せいかつをしている|He lives within his means
夕風|ゆうかぜ|evening breeze
世界語|せかいご|Universal language
水泳|すいえい|Swimming
巡り合う|りめぐりあう|To meet fortuitously / To meet by chance
友達と指切りした|ともだちと ゆびきりした|I made a pact with my friend
生徒たちはばらばらに帰宅したね。|せいとたちはばらばらに きたくしたね|Students went home separately.
要旨|ようし|Gist / overview
後者|こうしゃ|The latter
人買い|ひとかい|Slave traffic / Slave dealer
この表は年齢区分ごとの人口を表しています。|この ひょうは ねんれい くぶんごとの じんこうを あらわしています|This table shows the population divided into age groups.
直系|ちょっけい|Direct descent / Direct line
日本語の授業が難しくても、取ったでしょう|にほんごの じゅぎょうが むずかしくても とったでしょう|I would have taken the Japanese class, even if it would have been difficult
この服の在庫ありますか？|この ふくの ざいこありますか|Do you have this in stock?
うちの亭主は野球好きです|うちの ていしゅは やきゅう すきです|My husband likes baseball
不意（の）|ふいの|Sudden
耳元で|みみもとで|Close to ones ears
平たい|ひらたい|Flat / Even / Level (cricket bat)
事情聴取|じじょうちょうしゅ|Inquiry / Polite interview / questioning (eg witness, suspect)
かすり傷|かすり きず|scratch; graze; abrasion
こん畜生|こん ちくしょう|1. blast it!, bloody hell!, by thunder!, damn!, son of a bitch!2. you bastard!, 
箱庭|はこにわ|miniature garden
指導する|しどうする|To guide / lead
下宿|げしゅく|Lodging / Boarding house (iknow word)
眼球|がんきゅう|Eyeball
英語の聞き取り試験を受けたよ。|えいごの きききとり しけんを うけたよ|I took an English listening comprehension exam.
渦巻き|うずまき|Whirlpool / Swirl / Vortex
講演者は時折メモを参照した。|こうえんしゃは ときおりを さんしょうした|The speaker occasionally referred to his notes
彼は最後まで自分の任務を果たした。|かれは さいごまで じぶんの にんむを はたした|He fulfilled his duties right to the end.
